HKIDPCCJ_00001	LABPAKCO_00001	58.7	387	157	2	117	502	1	385	1.32e-153	440
HKIDPCCJ_00002	LABPAKCO_00002	56.5	379	162	1	1	376	1	379	1.18e-140	401
HKIDPCCJ_00004	LABPAKCO_00005	74.6	634	160	1	19	651	12	645	0.0	946
HKIDPCCJ_00004	LABPAKCO_01957	51.4	642	298	11	23	655	8	644	9.19e-211	601
HKIDPCCJ_00005	LABPAKCO_00006	62.8	803	297	1	11	811	10	812	0.0	989
HKIDPCCJ_00005	LABPAKCO_01958	40.0	817	460	7	11	810	6	809	4.55e-185	547
HKIDPCCJ_00007	LABPAKCO_00009	55.8	197	55	2	1	172	1	190	2.90e-56	172
HKIDPCCJ_00007	LABPAKCO_02342	50.0	174	75	2	1	172	1	164	8.61e-50	154
HKIDPCCJ_00029	LABPAKCO_00168	28.7	453	303	10	93	535	67	509	3.22e-49	174
HKIDPCCJ_00029	LABPAKCO_00977	26.3	452	304	13	87	521	107	546	2.30e-31	124
HKIDPCCJ_00029	LABPAKCO_01459	33.2	205	134	3	328	529	335	539	3.10e-30	120
HKIDPCCJ_00029	LABPAKCO_01460	23.7	451	338	6	88	534	100	548	4.45e-29	117
HKIDPCCJ_00029	LABPAKCO_02399	31.3	201	122	4	304	498	312	502	2.08e-22	97.1
HKIDPCCJ_00029	LABPAKCO_02526	29.8	208	124	6	328	521	28	227	2.37e-14	69.7
HKIDPCCJ_00029	LABPAKCO_01272	29.1	213	128	7	328	519	4	214	3.15e-14	71.2
HKIDPCCJ_00034	LABPAKCO_00103	56.1	645	274	5	1	637	1	644	7.15e-256	715
HKIDPCCJ_00034	LABPAKCO_01390	31.5	260	127	4	2	210	11	270	8.69e-31	124
HKIDPCCJ_00034	LABPAKCO_01699	30.1	306	177	10	8	303	12	290	5.54e-24	102
HKIDPCCJ_00038	LABPAKCO_00168	24.1	456	300	9	100	531	78	511	3.02e-28	114
HKIDPCCJ_00038	LABPAKCO_00977	26.1	284	184	8	250	513	267	544	3.67e-21	93.2
HKIDPCCJ_00038	LABPAKCO_01460	27.6	254	167	6	267	513	290	533	5.92e-19	86.3
HKIDPCCJ_00038	LABPAKCO_02399	28.1	185	125	2	325	503	331	513	9.99e-18	82.4
HKIDPCCJ_00038	LABPAKCO_01612	22.5	374	263	7	109	473	105	460	2.73e-17	80.9
HKIDPCCJ_00038	LABPAKCO_01459	29.6	152	95	3	359	501	368	516	1.32e-12	66.2
HKIDPCCJ_00038	LABPAKCO_02526	25.8	209	137	6	320	514	22	226	9.21e-11	58.9
HKIDPCCJ_00038	LABPAKCO_01272	22.1	204	100	7	323	485	2	187	6.56e-05	41.6
HKIDPCCJ_00038	LABPAKCO_00394	32.4	68	42	2	451	514	331	398	2.91e-04	39.7
HKIDPCCJ_00047	LABPAKCO_00854	54.1	333	149	3	8	338	4	334	6.03e-110	322
HKIDPCCJ_00047	LABPAKCO_02361	27.1	336	239	4	4	336	1	333	5.43e-29	111
HKIDPCCJ_00048	LABPAKCO_01328	33.8	444	291	3	1	442	1	443	2.02e-80	252
HKIDPCCJ_00048	LABPAKCO_02752	32.4	442	293	4	1	438	1	440	7.28e-74	235
HKIDPCCJ_00049	LABPAKCO_00839	72.5	382	98	3	1	379	1	378	5.42e-194	537
HKIDPCCJ_00049	LABPAKCO_00753	32.2	342	184	11	15	348	9	310	4.93e-43	149
